11,v.,call off,abandon
12,v.,desert,abandon
13,v.,ditch,abandon
14,v.,dump,abandon
15,v.,end,abandon
16,n.,intemperance,abandon
17,n.,licence,abandon
18,n.,license,abandon
19,n.,recklessness,abandon
20,n.,unrestraint,abandon
21,adj.,cast off,abandoned
22,adj.,derelict,abandoned
23,adj.,deserted,abandoned
24,adj.,discarded,abandoned
25,adj.,dumped,abandoned
26,n.,desertion,abandonment
27,n.,leaving,abandonment
28,n.,rejection,abandonment
29,n.,neglect,abandonment
30,v.,belittle,abase
31,v.,degrade,abase
32,v.,demean,abase
33,v.,denigrate,abase
34,v.,humiliate,abase
35,adj.,embarrassed,abashed
36,adj.,ashamed,abashed
37,adj.,mortified,abashed
38,adj.,disconcerted,abashed
39,adj.,dismayed,abashed
40,v.,decrease,abate
41,v.,subside,abate
42,v.,decline,abate
43,v.,fade away,abate
44,v.,fall,abate
45,n.,reduction,abatement
46,n.,cut,abatement
47,n.,drop,abatement
48,n.,fall,abatement
49,n.,decline,abatement
50,n.,slaughterhouse,abattoir
51,n.,shambles,abattoir
52,n.,knacker's yard,abattoir
53,n.,cloister,abbey
54,n.,convent,abbey
55,n.,monastery,abbey
56,n.,priory,abbey
57,n.,religious house,abbey
58,v.,abridge,abbreviate
59,v.,condense,abbreviate
60,v.,curtail,abbreviate
61,v.,cut,abbreviate
62,v.,cut short,abbreviate
63,adj.,shortened,abbreviated
64,adj.,condensed,abbreviated
65,adj.,abridged,abbreviated
66,adj.,truncated,abbreviated
67,adj.,reduced,abbreviated
68,n.,abridgement,abbreviation
69,n.,acronym,abbreviation
70,n.,condensation,abbreviation
71,n.,contraction,abbreviation
72,n.,curtailment,abbreviation
73,n.,alphabet,abc
74,n.,basics,abc
75,n.,essentials,abc
76,n.,fundamentals,abc
77,n.,nitty-gritty,abc
78,v.,abandon,abdicate
79,v.,give up,abdicate
80,v.,hand over,abdicate
81,v.,relinquish,abdicate
82,v.,renounce,abdicate
83,n.,resignation,abdication
84,n.,renunciation,abdication
85,n.,abandonment,abdication
86,adj.,stomach,abdominal
87,adj.,belly,abdominal
88,adj.,front,abdominal
89,adj.,intestinal,abdominal
90,adj.,gut,abdominal
91,v.,capture,abduct
92,v.,kidnap,abduct
93,v.,make off with,abduct
94,v.,seize,abduct
95,n.,kidnapping,abduction
96,n.,seizure,abduction
97,n.,snatching,abduction
98,n.,capture,abduction
99,n.,kidnap,abduction
100,n.,kidnapper,abductor
101,n.,captor,abductor
102,n.,snatcher,abductor
103,n.,hijacker,abductor
6030,n.,perverseness,aberrance
6031,n.,irrationality,aberrance
6032,n.,deviance,aberrance
6033,n.,disobedience,aberrance
6034,n.,contrariness,aberrance
6035,n.,perverseness,aberrancy
6036,n.,irrationality,aberrancy
6037,n.,deviance,aberrancy
6038,n.,disobedience,aberrancy
6039,n.,contrariness,aberrancy
6040,adj.,abnormal,aberrant
